Participant;Group;EventDuration
1;EMME;21422.8
2;EMME;36523.4
3;EMME;132077.2
6;EMME;25618.7
8;EMME;156571.3
10;EMME;77739.2
12;EMME;72575.6
14;EMME;44992.8
16;EMME;68426
18;EMME;34937.9
20;EMME;51531.9
22;EMME;42054.3
24;EMME;26516.7
26;EMME;30324.2
28;EMME;108905.5
30;EMME;29099.9
32;EMME;78414
34;EMME;76039
36;EMME;46951.8
40;EMME;9330
42;EMME;23992.6
44;EMME;26814.6
46;EMME;101859.5
48;EMME;65829.9
50;EMME;49431.9
52;EMME;23811.8
54;EMME;28599.4
56;EMME;62504.5
58;EMME;73615.3
4;VIDEO;8282.2
5;VIDEO;31179.7
7;VIDEO;5578.3
9;VIDEO;16765.5
11;VIDEO;18728.6
13;VIDEO;60471.8
15;VIDEO;8836.4
17;VIDEO;26217.1
19;VIDEO;24207.8
21;VIDEO;20762.6
23;VIDEO;18280.5
25;VIDEO;44510.1
27;VIDEO;79881.1
29;VIDEO;13501
31;VIDEO;15719.6
33;VIDEO;39552.8
35;VIDEO;15489.6
37;VIDEO;27961.3
38;VIDEO;13541.6
39;VIDEO;29090.1
41;VIDEO;129811
45;VIDEO;40398.6
47;VIDEO;19035.3
49;VIDEO;98982.2
51;VIDEO;61278.4
53;VIDEO;16150.8
55;VIDEO;10455.4
57;VIDEO;12874.4
