Participant,AOI,EventDuration,log_EventDuration
EMME01,Non-reliable,341550.8,12.741251702420463
EMME02,Non-reliable,180903.8,12.10572067724347
EMME03,Non-reliable,60991.9,11.018496347453244
EMME06,Non-reliable,184256.2,12.124082459417595
EMME08,Non-reliable,67825.6,11.124694983783618
EMME10,Non-reliable,174468,12.069496622719425
EMME12,Non-reliable,173302.1,12.062791593345224
EMME14,Non-reliable,285482.2,12.561934959374492
EMME16,Non-reliable,110982.9,11.617131414372873
EMME18,Non-reliable,173806.8,12.065699616479579
EMME20,Non-reliable,223207.6,12.31585755908881
EMME22,Non-reliable,308292.9,12.638805584092355
EMME24,Non-reliable,124265.2,11.730173270480705
EMME26,Non-reliable,314360.8,12.658296649829907
EMME28,Non-reliable,183298.8,12.118872887161523
EMME30,Non-reliable,130374.1,11.778163289115296
EMME32,Non-reliable,112183.9,11.627894768013377
EMME34,Non-reliable,271892.6,12.513162414362009
EMME36,Non-reliable,78695.8,11.273345065764133
EMME40,Non-reliable,332998,12.715891762938538
EMME42,Non-reliable,260777.8,12.471423982712105
EMME44,Non-reliable,138657.2,11.83975997901407
EMME46,Non-reliable,210369.1,12.256618885942377
EMME48,Non-reliable,262384.7,12.477567026425268
EMME50,Non-reliable,57780.75,10.964410954205972
EMME52,Non-reliable,205105.4,12.231279272334065
EMME54,Non-reliable,231231.65,12.351175300874836
EMME56,Non-reliable,354027.85,12.777130861337792
EMME58,Non-reliable,220236.75,12.302458383078477
VIDEO04,Non-reliable,76619.5,11.246606892522045
VIDEO05,Non-reliable,240156.3,12.389045240352873
VIDEO07,Non-reliable,34571.7,10.45079070729236
VIDEO09,Non-reliable,118974.9,11.686667825476245
VIDEO11,Non-reliable,150349.8,11.920719858186326
VIDEO13,Non-reliable,278730.15,12.537999388458527
VIDEO15,Non-reliable,145664.2,11.889059251627797
VIDEO17,Non-reliable,245850.9,12.412480533602146
VIDEO19,Non-reliable,316906.5,12.666362056670932
VIDEO21,Non-reliable,387998.9,12.868757783549846
VIDEO23,Non-reliable,450270.2,13.01760312599631
VIDEO25,Non-reliable,168719.1,12.035990480856778
VIDEO27,Non-reliable,247256.6,12.418181942758618
VIDEO29,Non-reliable,285788.3,12.563006605921249
VIDEO31,Non-reliable,256146.7,12.453505606208038
VIDEO33,Non-reliable,411682.9,12.928008671797018
VIDEO35,Non-reliable,255277.9,12.45010803465693
VIDEO37,Non-reliable,173515,12.064019329963417
VIDEO38,Non-reliable,551839.4,13.221012340898405
VIDEO39,Non-reliable,491716.8,13.105658219991453
VIDEO41,Non-reliable,277497.95,12.533568824753951
VIDEO45,Non-reliable,279120.95,12.53940047940889
VIDEO47,Non-reliable,352548.2,12.77294262947538
VIDEO49,Non-reliable,432128.3,12.976477813873968
VIDEO51,Non-reliable,212259.7,12.265565803953843
VIDEO53,Non-reliable,290334.95,12.578790535463312
VIDEO55,Non-reliable,266429.2,12.492863821251287
VIDEO57,Non-reliable,238895.5,12.383781496803302
