Participant,AOI,EventDuration
EMME01,Reliable,306465.5
EMME02,Reliable,153854.5
EMME03,Reliable,232797.7
EMME06,Reliable,245322.2
EMME08,Reliable,335818.6
EMME10,Reliable,260767.9
EMME12,Reliable,278693
EMME14,Reliable,283013.9
EMME16,Reliable,316500.3
EMME18,Reliable,260817.1
EMME20,Reliable,221565.2
EMME22,Reliable,309773.8
EMME24,Reliable,157061.4
EMME26,Reliable,347816.25
EMME28,Reliable,231814.9
EMME30,Reliable,201301
EMME32,Reliable,179566.7
EMME34,Reliable,267217.6
EMME36,Reliable,131597.1
EMME40,Reliable,359706.3
EMME42,Reliable,245007.7
EMME44,Reliable,169462.8
EMME46,Reliable,215481.55
EMME48,Reliable,353585.4
EMME50,Reliable,199228.1
EMME52,Reliable,223490.6
EMME54,Reliable,250556.4
EMME56,Reliable,356894.2
EMME58,Reliable,219719.45
VIDEO04,Reliable,69540.5
VIDEO05,Reliable,74049.5
VIDEO07,Reliable,55446.4
VIDEO09,Reliable,135743
VIDEO11,Reliable,197919
VIDEO13,Reliable,285832.2
VIDEO15,Reliable,149831.7
VIDEO17,Reliable,263964.1
VIDEO19,Reliable,354749.75
VIDEO21,Reliable,368917.15
VIDEO23,Reliable,510519.8
VIDEO25,Reliable,271838.3
VIDEO27,Reliable,339639.8
VIDEO29,Reliable,294939.3
VIDEO31,Reliable,311274.8
VIDEO33,Reliable,380218.4
VIDEO35,Reliable,330366.6
VIDEO37,Reliable,148630.2
VIDEO38,Reliable,506069.4
VIDEO39,Reliable,555700.1
VIDEO41,Reliable,333364.5
VIDEO45,Reliable,289061.8
VIDEO47,Reliable,524125.2
VIDEO49,Reliable,499546.05
VIDEO51,Reliable,228486.9
VIDEO53,Reliable,321340.4
VIDEO55,Reliable,251182.45
VIDEO57,Reliable,257955.7
